"","year","grand_slam","name","rolling_win_count","tournament_date","gender","rolling_win_count2","total_wins","label"
"332",1999,"wimbledon","Pete Sampras",12,1999-07-14,"Male",12,NA,NA
"333",1999,"us_open","Andre Agassi",5,1999-09-09,"Male",5,NA,NA
"334",2000,"australian_open","Andre Agassi",6,2000-01-10,"Male",6,NA,NA
"335",2000,"french_open","Gustavo Kuerten",2,2000-06-09,"Male",2,NA,NA
"336",2000,"wimbledon","Pete Sampras",13,2000-07-14,"Male",13,NA,NA
"337",2000,"us_open","Marat Safin",1,2000-09-09,"Male",1,NA,NA
"338",2001,"australian_open","Andre Agassi",7,2001-01-10,"Male",7,NA,NA
"339",2001,"french_open","Gustavo Kuerten",3,2001-06-09,"Male",3,3,"Gustavo Kuerten"
"340",2001,"wimbledon","Goran Ivaniševic",1,2001-07-14,"Male",1,1,"Goran Ivaniševic"
"341",2001,"us_open","Lleyton Hewitt",1,2001-09-09,"Male",1,NA,NA
"342",2002,"australian_open","Thomas Johansson",1,2002-01-10,"Male",1,1,"Thomas Johansson"
"343",2002,"french_open","Albert Costa",1,2002-06-09,"Male",1,1,"Albert Costa"
"344",2002,"wimbledon","Lleyton Hewitt",2,2002-07-14,"Male",2,2,"Lleyton Hewitt"
"345",2002,"us_open","Pete Sampras",14,2002-09-09,"Male",14,14,"Pete Sampras"
"346",2003,"australian_open","Andre Agassi",8,2003-01-10,"Male",8,8,"Andre Agassi"
"347",2003,"french_open","Juan Carlos Ferrero",1,2003-06-09,"Male",1,1,"Juan Carlos Ferrero"
"348",2003,"wimbledon","Roger Federer",1,2003-07-14,"Male",1,NA,NA
"349",2003,"us_open","Andy Roddick",1,2003-09-09,"Male",1,1,"Andy Roddick"
"350",2004,"australian_open","Roger Federer",2,2004-01-10,"Male",2,NA,NA
"351",2004,"french_open","Gastón Gaudio",1,2004-06-09,"Male",1,1,"Gastón Gaudio"
"352",2004,"wimbledon","Roger Federer",3,2004-07-14,"Male",3,NA,NA
"353",2004,"us_open","Roger Federer",4,2004-09-09,"Male",4,NA,NA
"354",2005,"australian_open","Marat Safin",2,2005-01-10,"Male",2,2,"Marat Safin"
"355",2005,"french_open","Rafael Nadal",1,2005-06-09,"Male",1,NA,NA
"356",2005,"wimbledon","Roger Federer",5,2005-07-14,"Male",5,NA,NA
"357",2005,"us_open","Roger Federer",6,2005-09-09,"Male",6,NA,NA
"358",2006,"australian_open","Roger Federer",7,2006-01-10,"Male",7,NA,NA
"359",2006,"french_open","Rafael Nadal",2,2006-06-09,"Male",2,NA,NA
"360",2006,"wimbledon","Roger Federer",8,2006-07-14,"Male",8,NA,NA
"361",2006,"us_open","Roger Federer",9,2006-09-09,"Male",9,NA,NA
"362",2007,"australian_open","Roger Federer",10,2007-01-10,"Male",10,NA,NA
"363",2007,"french_open","Rafael Nadal",3,2007-06-09,"Male",3,NA,NA
"364",2007,"wimbledon","Roger Federer",11,2007-07-14,"Male",11,NA,NA
"365",2007,"us_open","Roger Federer",12,2007-09-09,"Male",12,NA,NA
"366",2008,"australian_open","Novak Djokovic",1,2008-01-10,"Male",1,NA,NA
"367",2008,"french_open","Rafael Nadal",4,2008-06-09,"Male",4,NA,NA
"368",2008,"wimbledon","Rafael Nadal",5,2008-07-14,"Male",5,NA,NA
"369",2008,"us_open","Roger Federer",13,2008-09-09,"Male",13,NA,NA
"370",2009,"australian_open","Rafael Nadal",6,2009-01-10,"Male",6,NA,NA
"371",2009,"french_open","Roger Federer",14,2009-06-09,"Male",14,NA,NA
"372",2009,"wimbledon","Roger Federer",15,2009-07-14,"Male",15,NA,NA
"373",2009,"us_open","Juan Martín del Potro",1,2009-09-09,"Male",1,1,"Juan Martín del Potro"
"374",2010,"australian_open","Roger Federer",16,2010-01-10,"Male",16,NA,NA
"375",2010,"french_open","Rafael Nadal",7,2010-06-09,"Male",7,NA,NA
"376",2010,"wimbledon","Rafael Nadal",8,2010-07-14,"Male",8,NA,NA
"377",2010,"us_open","Rafael Nadal",9,2010-09-09,"Male",9,NA,NA
"378",2011,"australian_open","Novak Djokovic",2,2011-01-10,"Male",2,NA,NA
"379",2011,"french_open","Rafael Nadal",10,2011-06-09,"Male",10,NA,NA
"380",2011,"wimbledon","Novak Djokovic",3,2011-07-14,"Male",3,NA,NA
"381",2011,"us_open","Novak Djokovic",4,2011-09-09,"Male",4,NA,NA
"382",2012,"australian_open","Novak Djokovic",5,2012-01-10,"Male",5,NA,NA
"383",2012,"french_open","Rafael Nadal",11,2012-06-09,"Male",11,NA,NA
"384",2012,"wimbledon","Roger Federer",17,2012-07-14,"Male",17,NA,NA
"385",2012,"us_open","Andy Murray",1,2012-09-09,"Male",1,NA,NA
"386",2013,"australian_open","Novak Djokovic",6,2013-01-10,"Male",6,NA,NA
"387",2013,"french_open","Rafael Nadal",12,2013-06-09,"Male",12,NA,NA
"388",2013,"wimbledon","Andy Murray",2,2013-07-14,"Male",2,NA,NA
"389",2013,"us_open","Rafael Nadal",13,2013-09-09,"Male",13,NA,NA
"390",2014,"australian_open","Stan Wawrinka",1,2014-01-10,"Male",1,NA,NA
"391",2014,"french_open","Rafael Nadal",14,2014-06-09,"Male",14,NA,NA
"392",2014,"wimbledon","Novak Djokovic",7,2014-07-14,"Male",7,NA,NA
"393",2014,"us_open","Marin Cilic",1,2014-09-09,"Male",1,1,"Marin Cilic"
"394",2015,"australian_open","Novak Djokovic",8,2015-01-10,"Male",8,NA,NA
"395",2015,"french_open","Stan Wawrinka",2,2015-06-09,"Male",2,NA,NA
"396",2015,"wimbledon","Novak Djokovic",9,2015-07-14,"Male",9,NA,NA
"397",2015,"us_open","Novak Djokovic",10,2015-09-09,"Male",10,NA,NA
"398",2016,"australian_open","Novak Djokovic",11,2016-01-10,"Male",11,NA,NA
"399",2016,"french_open","Novak Djokovic",12,2016-06-09,"Male",12,NA,NA
"400",2016,"wimbledon","Andy Murray",3,2016-07-14,"Male",3,3,"Andy Murray"
"401",2016,"us_open","Stan Wawrinka",3,2016-09-09,"Male",3,3,"Stan Wawrinka"
"402",2017,"australian_open","Roger Federer",18,2017-01-10,"Male",18,NA,NA
"403",2017,"french_open","Rafael Nadal",15,2017-06-09,"Male",15,NA,NA
"404",2017,"wimbledon","Roger Federer",19,2017-07-14,"Male",19,NA,NA
"405",2017,"us_open","Rafael Nadal",16,2017-09-09,"Male",16,NA,NA
"406",2018,"australian_open","Roger Federer",20,2018-01-10,"Male",20,20,"Roger Federer"
"407",2018,"french_open","Rafael Nadal",17,2018-06-09,"Male",17,17,"Rafael Nadal"
"408",2018,"wimbledon","Novak Djokovic",13,2018-07-14,"Male",13,NA,NA
"409",2018,"us_open","Novak Djokovic",14,2018-09-09,"Male",14,NA,NA
"410",2019,"australian_open","Novak Djokovic",15,2019-01-10,"Male",15,15,"Novak Djokovic"
